id,bare,rank,type,level
12,весь,10.0,noun,B1
34,человек,26.0,noun,A1
49,год,39.0,noun,A2
56,время,46.0,noun,A2
57,рука,47.0,noun,A2
61,стать,51.0,noun,B1
63,наш,63.0,noun,
67,дело,56.0,noun,B1
74,раз,63.0,noun,A2
78,глаз,66.0,noun,A2
80,день,68.0,noun,A2
81,жизнь,69.0,noun,B1
92,голова,78.0,noun,A2
97,друг,83.0,noun,A2
100,дом,86.0,noun,A1
104,слово,90.0,noun,A2
106,место,92.0,noun,A2
110,лицо,96.0,noun,A2
120,сторона,106.0,noun,B1
127,нога,113.0,noun,A2
132,работа,118.0,noun,A1
140,дверь,125.0,noun,A2
143,конец,127.0,noun,B1
144,город,128.0,noun,A2
147,голос,131.0,noun,B1
148,час,132.0,noun,A2
153,земля,137.0,noun,B1
156,сила,140.0,noun,B1
157,вода,141.0,noun,A1
162,случай,146.0,noun,B1
165,стол,149.0,noun,A2
166,машина,150.0,noun,A2
167,мир,151.0,noun,B1
168,ночь,152.0,noun,A2
169,женщина,153.0,noun,A2
173,ребёнок,157.0,noun,A2
175,вид,159.0,noun,B1
176,отец,160.0,noun,A2
177,вопрос,161.0,noun,A2
181,ряд,165.0,noun,B1
185,страна,169.0,noun,A2
190,война,174.0,noun,B1
197,минута,181.0,noun,A2
199,товарищ,183.0,noun,B1
203,правда,187.0,noun,B1
208,часть,192.0,noun,B1
211,дорога,195.0,noun,B1
212,свет,196.0,noun,B1
213,жена,197.0,noun,A2
216,окно,200.0,noun,B1
218,мать,202.0,noun,A2
223,улица,207.0,noun,A2
230,комната,214.0,noun,A2
231,утро,215.0,noun,B1
233,вечер,217.0,noun,B1
235,душа,219.0,noun,B1
236,книга,220.0,noun,B1
237,плечо,221.0,noun,B1
241,пол,225.0,noun,B1
244,народ,228.0,noun,B1
246,взгляд,230.0,noun,B1
249,история,233.0,noun,B1
253,бог,237.0,noun,B1
258,палец,242.0,noun,B1
262,имя,246.0,noun,B1
265,мысль,249.0,noun,B1
274,разговор,258.0,noun,B1
278,право,262.0,noun,B1
279,лес,263.0,noun,B1
282,сын,265.0,noun,A2
283,путь,266.0,noun,B1
284,тысяча,267.0,noun,B1
285,пора,268.0,noun,B1
290,стена,272.0,noun,B1
302,спина,284.0,noun,B1
303,месяц,285.0,noun,A2
308,тело,290.0,noun,B1
312,язык,294.0,noun,B1
313,мама,295.0,noun,A2
315,старик,297.0,noun,B1
317,смерть,299.0,noun,B1
318,власть,300.0,noun,B1
319,мальчик,301.0,noun,B1
322,образ,304.0,noun,B1
323,письмо,305.0,noun,B1
325,отношение,307.0,noun,B1
326,сердце,308.0,noun,B1
328,начальник,310.0,noun,B1
334,девушка,316.0,noun,A1
335,солдат,317.0,noun,B1
339,небо,321.0,noun,B1
341,система,323.0,noun,B1
342,воздух,324.0,noun,B1
351,ребята,333.0,noun,B1
352,брат,334.0,noun,A2
353,квартира,335.0,noun,B1
358,генерал,340.0,noun,B1
365,кровь,347.0,noun,B1
367,шаг,349.0,noun,B1
369,хозяин,351.0,noun,B1
370,внимание,352.0,noun,B1
381,школа,363.0,noun,B1
383,труд,365.0,noun,B1
384,капитан,366.0,noun,B1
389,парень,371.0,noun,B1
390,группа,372.0,noun,B1
391,солнце,373.0,noun,A2
392,любовь,374.0,noun,B1
394,ухо,376.0,noun,B1
396,неделя,378.0,noun,A2
401,ответ,383.0,noun,B1
407,берег,388.0,noun,B1
408,помощь,389.0,noun,B1
409,мужчина,390.0,noun,B1
410,момент,391.0,noun,B1
414,газета,395.0,noun,B1
419,чувство,400.0,noun,B1
420,порядок,401.0,noun,B1
421,семья,402.0,noun,A2
422,армия,403.0,noun,B1
430,движение,411.0,noun,B1
431,муж,412.0,noun,A2
432,нос,413.0,noun,B1
435,огонь,416.0,noun,B1
436,двор,417.0,noun,B1
445,угол,426.0,noun,B1
446,смысл,427.0,noun,B1
448,общество,429.0,noun,B1
449,грудь,430.0,noun,B1
452,дерево,433.0,noun,B1
453,немец,434.0,noun,B1
454,губа,435.0,noun,B1
455,снег,436.0,noun,A2
457,дядя,438.0,noun,B1
459,очередь,440.0,noun,B1
461,форма,442.0,noun,B1
462,закон,443.0,noun,B1
465,собака,446.0,noun,A2
471,состояние,452.0,noun,B1
473,сон,454.0,noun,B1
476,карман,457.0,noun,B1
480,девочка,461.0,noun,B1
481,камень,462.0,noun,B1
483,ветер,464.0,noun,B1
484,проблема,465.0,noun,A2
485,связь,466.0,noun,B1
487,гость,468.0,noun,B1
489,зуб,470.0,noun,B1
490,мера,471.0,noun,B1
491,век,472.0,noun,B1
493,номер,474.0,noun,B1
496,средство,477.0,noun,B1
498,действие,479.0,noun,B1
499,ход,480.0,noun,B1
506,глава,487.0,noun,B1
507,партия,488.0,noun,B1
508,край,489.0,noun,B1
510,река,491.0,noun,B1
511,судьба,492.0,noun,B1
512,рота,493.0,noun,B1
514,речь,495.0,noun,B1
518,причина,499.0,noun,B1
519,гора,500.0,noun,B1
521,страх,502.0,noun,B1
524,море,505.0,noun,B1
525,зал,506.0,noun,B1
527,врач,508.0,noun,B1
530,командир,511.0,noun,B1
534,боль,515.0,noun,B1
535,господин,516.0,noun,B1
537,вещь,518.0,noun,A2
538,результат,519.0,noun,B1
539,число,520.0,noun,B1
540,цель,521.0,noun,B1
544,положение,525.0,noun,B1
546,писатель,527.0,noun,B1
548,бумага,529.0,noun,B1
551,план,532.0,noun,B1
552,черта,533.0,noun,B1
558,документ,539.0,noun,B1
567,волос,548.0,noun,B1
569,пара,550.0,noun,B1
570,след,551.0,noun,B1
572,решение,553.0,noun,B1
578,класс,559.0,noun,B1
579,условие,560.0,noun,B1
580,центр,561.0,noun,B1
585,встреча,566.0,noun,B1
586,директор,567.0,noun,B1
587,рубль,568.0,noun,A1
589,служба,570.0,noun,B1
590,процесс,571.0,noun,B1
593,президент,574.0,noun,B1
594,память,575.0,noun,B1
600,герой,581.0,noun,B1
601,дух,582.0,noun,B1
605,враг,586.0,noun,B1
610,счастье,591.0,noun,B1
611,удар,592.0,noun,B1
614,самолёт,595.0,noun,B1
617,деревня,598.0,noun,A2
618,картина,599.0,noun,B1
621,будущее,602.0,noun,B1
622,коридор,603.0,noun,B1
632,кабинет,613.0,noun,B1
635,колено,616.0,noun,B1
639,бутылка,620.0,noun,B1
643,телефон,624.0,noun,B1
644,компания,625.0,noun,B1
647,доктор,628.0,noun,B1
650,автор,631.0,noun,B1
651,мужик,632.0,noun,B1
653,интерес,634.0,noun,B1
658,счёт,639.0,noun,A1
661,лейтенант,642.0,noun,B1
662,оружие,643.0,noun,B1
663,игра,644.0,noun,B1
668,бой,649.0,noun,B1
669,качество,650.0,noun,B1
673,член,654.0,noun,B1
675,хлеб,656.0,noun,B1
680,развитие,661.0,noun,B2
682,банк,663.0,noun,B2
683,совет,664.0,noun,B2
686,трубка,667.0,noun,B2
687,ладонь,668.0,noun,B2
690,институт,671.0,noun,B2
697,идея,677.0,noun,B2
698,точка,678.0,noun,B2
699,уровень,679.0,noun,B2
700,профессор,680.0,noun,B2
701,наука,681.0,noun,B2
702,событие,682.0,noun,B2
703,союз,683.0,noun,B2
704,король,684.0,noun,B2
705,половина,685.0,noun,B2
706,метр,686.0,noun,B2
708,вера,688.0,noun,B2
710,область,690.0,noun,B2
712,ситуация,692.0,noun,B2
713,кухня,693.0,noun,B2
714,надежда,694.0,noun,B2
715,род,695.0,noun,B2
716,офицер,696.0,noun,B2
718,течение,698.0,noun,B2
719,информация,699.0,noun,B2
731,граница,711.0,noun,B2
732,слеза,712.0,noun,B2
734,рассказ,714.0,noun,B2
737,трава,717.0,noun,B2
740,тридцать,719.0,noun,B2
741,борьба,720.0,noun,B2
743,шея,722.0,noun,B2
744,десяток,723.0,noun,B2
746,толпа,725.0,noun,B2
748,родитель,727.0,noun,A2
749,правило,728.0,noun,B2
751,секунда,730.0,noun,A2
756,программа,735.0,noun,B2
757,фамилия,736.0,noun,B2
758,звук,737.0,noun,B2
759,роман,738.0,noun,B2
763,чай,742.0,noun,A1
765,роль,744.0,noun,B2
766,сознание,745.0,noun,B2
768,команда,747.0,noun,B2
772,магазин,751.0,noun,B2
775,ворот,754.0,noun,B2
777,полковник,756.0,noun,B2
778,природа,757.0,noun,B2
780,запах,759.0,noun,B2
781,поэт,760.0,noun,B2
782,район,761.0,noun,B2
783,лист,762.0,noun,B2
785,стекло,764.0,noun,B2
787,количество,766.0,noun,B2
788,этаж,767.0,noun,B2
789,тип,768.0,noun,B2
791,свобода,770.0,noun,B2
792,сапог,771.0,noun,B2
793,суд,772.0,noun,B2
795,выход,774.0,noun,A2
796,дед,775.0,noun,B2
797,лоб,776.0,noun,B2
798,кресло,777.0,noun,B2
799,дочь,778.0,noun,B2
802,характер,781.0,noun,B2
803,опыт,782.0,noun,B2
804,площадь,783.0,noun,B2
808,управление,787.0,noun,B2
810,мнение,789.0,noun,B2
814,революция,793.0,noun,B2
816,улыбка,795.0,noun,B2
817,рост,796.0,noun,B2
